Stimuli
가
가감
가객
가건물
가게
가겟집
가격
가격표
가결하다
가계
가계부
가계비
가계약
가곡
가공
가공되다
가공품
가공하다
가관
가교
가구
가구주
가극
가까스로
가까이
가까이하다
가깝다
대하다
가끔
가난
가난뱅이
가난하다
가내
가냘프다
가녀리다
위하다
가느다랗다
가늘다
가늠
가늠하다
가능
가능하다
가다
가다듬다
가닥
가담
가담자
가담하다
가당하다
말하다
가도
가동
가동되다
가동률
가동시키다
가동하다
가두
보이다
가드
가득
가득하다
가득히
가든
가등기
가뜩이나
가라앉다
가라앉히다
가라오케
가락
가락지
가랑비
가랑이
가랑잎
가래
가래침
가량
가려내다
가련하다
가렴주구
가렵다
가령
가례
가로
가로놓이다
가로등
가로막다
가로막히다
가로수
가로젓다
가로지르다
가로채다
가루
따르다
가르마
가르치다
가르침
가름하다
가리개
나오다
가리우다
가리키다
가마
가마니
가마솥
가만
가만가만
가만두다
가만있다
가만히
가망
가맹점
가면
가면극
가명
가묘
가무
가문
가물가물
가물거리다
모르다
가물치
가뭄
가미
가미되다
가미하다
가발
가방
가벼이
가볍다
가보
가부
가부장
가부장제
가부좌
가빠지다
가뿐하다
가쁘다
가사
가사일
가산
가산하다
가상
가상공간
가상하다
가상현실
가석방
가설
가설하다
가성
가세
가세하다
가소롭다
가속
가속기
가속도
가속되다
가속시키다
가속화
가속화되다
가속화하다
가솔린
가수
가스
가스레인지
가스렌지
가스총
가스통
가슴
가슴속
가슴앓이
가슴팍
가습기
가시
가시나무
만들다
가시덤불
가시밭길
가시화
가시화되다
가시화하다
가식
가신
가십
가압류
가액
가야금
가업
가열
가열되다
가열하다
가엽다
가엾다
가오리
가오리연
가옥
가요
가요계
가요제
가용
가운
가운데
가위
가위눌리다
가위바위보
가위질
가을
가을걷이
가을날
가을맞이
가을바람
가을밤
가을비
가을철
가이드
가이드라인
가이드북
가입
가입국
가입되다
가입비
가입자
가입하다
가자미
가작
가장
가장자리
가장하다
가재
가재도구
가전
가전제품
가정
가정교사
가정교육
가정부
가정생활
가정의례
가정주부
가정집
가정하다
가정환경
가제
가져가다
가져다주다
가져오다
가족
가족계획
가족법
가족사진
가족회의
가죽
가중
가중되다
가중시키다
가중치
가증스럽다
가지
가지가지
가지각색
그러다
가지런하다
가지런히
가지치기
가짓수
가짜
가차
가창력
가책
가처분
가축
가출
가출하다
가치
가치관
가치세
가칭
가타부타
가택
가톨릭
가파르다
가판대
가풍
지나다
가학
가해
가해자
가호
가혹
가혹하다
가훈
가히
각
각각
각개
각계
각계각층
각고
각광
각국
각급
각기
각도
각론
각료
각막
각목
각박하다
각별하다
각별히
각본
각색
각색하다
각서
각선미
각성
각성되다
각성제
각성하다
각시
각양
각양각색
각오
각오하다
각의
각인
각인되다
각인시키다
각자
각종
각주
각지
각질
각처
각축
각축전
각층
각필
각하
각혈
각형
간
간간이
간격
간결하다
간계
간곡하다
간곡히
간과되다
간과하다
간교하다
간극
간단하다
간단히
간담
간담회
간드러지다
간략히
간명하다
간밤
간병
간병인
간부
간부회
간빙기
간사
간사장
간사하다
간선
간섭
간섭하다
간세포
간소하다
간소화
간소화되다
간소화하다
간수
간수하다
간식
간신히
간악하다
간암
간여하다
간염
간음
간이
간이역
간자
간장
간절하다
간절히
간접
간접비
간접세
간주
간주되다
간주하다
간증
간지
간지럼
간지럽다
간지럽히다
간직되다
간직하다
간질
간질이다
간척
간척지
간첩
간첩단
간청
간청하다
간추리다
간통
간통죄
간파
간파하다
간판
간편하다
통하다
간행
간행되다
간행물
간행하다
간호
간호부
간호사
간호원
간호하다
간혹
가지다
갈가리
갈고리
갈구
갈구하다
갈기
갈기갈기
의하다
갈다
갈대
갈대밭
갈등
갈등하다
갈라놓다
갈라서다
갈라지다
갈래
갈래갈래
만나다
갈림길
갈망
갈망하다
갈매기
갈무리
갈무리하다
갈밭
갈비
갈비뼈
갈빗대
갈색
갈수록
갈아엎다
갈아입다
갈아입히다
갈아타다
갈이
갈증
갈채
갈치
갈퀴
갈파하다
갈팡질팡
갈피
갉다
갉아먹다
감
감각
감감하다
감격
감격스럽다
감격하다
감귤
감금
감금당하다
감금되다
감금하다
감기
느끼다
감기약
감나무
감내하다
감다
감당
감당하다
감도
감독
감독관
감독권
감독원
감독자
감독하다
밝히다
감동
감동스럽다
감동시키다
감동하다
감량
감리
감면
감면하다
감명
감미롭다
감미료
감방
감별
감별하다
감복하다
감봉
감사
감사관
감사권
감사원
감사장
감사패
감사하다
감산
감상
감상문
감상자
감상주의
감상하다
감상회
감색
감성
감성돔
감소
감소되다
감소세
감소시키다
감소율
감소하다
감수
감수하다
감시
감시망
감시원
감시자
감시하다
감식
부르다
감싸이다
감안
감안하다
감언이설
감염
감염되다
감염자
감옥
감옥살이
감옥소
감원
감자
감전
감전되다
감정
감정가
감정인
감정하다
감지
감지기
감지덕지
감지되다
감지하다
감질
감쪽같이
감찰
감청
감초
감촉
나가다
감축
감축되다
감축하다
감칠맛
감탄
감탄사
감탄스럽다
감탄하다
감퇴
감투
내리다
감행하다
감형
감호
감화
감회
감흥
감히
갑
갑갑하다
갑부
갑사
갑상선
갑석
갑오
갑옷
갑자기
갑작스럽다
갑작스레
갑절
갑판
갑판장
값
값나가다
값비싸다
값싸다
값어치
값지다
보내다
갓
갓길
갓끈
갓난아기
갓난아이
갓난애
강
강가
강간
강강수월래
강강술래
강건하다
강경
강경책
강경파
강경하다
강고하다
강관
강구
강구되다
강구하다
강국
강권
강낭콩
강냉이
강단
강당
강대국
강도
강둑
강력범
강력부
강력하다
강력히
강렬하다
강령
강론
강물
강바닥
강바람
강박
강박감
강변
강변하다
강병
강보
강사
강산
강성
강세
강수량
강습
강습회
강신
강신무
강아지
강압
강약
강연
강연회
강요
강요당하다
강요되다
강요받다
강요하다
강우
강우량
강의
강의실
강의하다
강인하다
강자
강적
강전
강점
강점기
강정
강제
강제되다
강제력
강제하다
강조
강조되다
강조하다
강좌
강줄기
강직하다
강진
강철
강추위
강타하다
강탈하다
강토
강판
강풍
강하
강하다
강학
강행
강행군
강행하다
강호
강화
강화되다
강화시키다
강화하다
갖가지
갖다
이르다
같다
같아지다
같이
같이하다
같잖다
갚다
개
개가
개각
개간
개간하다
개강
개개
개개인
개고기
개관
개관되다
개관하다
개교
개구리
개구멍
개구장이
개구쟁이
개국
개국하다
개그
개그맨
개그우먼
개기
개나리
개나리꽃
개념
개념화
개념화되다
개념화하다
개다
개도국
개떡
개똥
개띠
개량
개량되다
개량주의
개량하다
개런티
개론
개막
개막되다
개막식
개막전
개명
개미
개발
개발도상국
개발되다
개발비
개발원
개발자
개발하다
개밥
개방
개방되다
개방하다
개방형
개방화
개벽
개별
개별화
개별화되다
개봉
개봉관
개봉되다
개봉작
개봉하다
개비
개살구
개선
개선되다
개선시키다
개선책
개선하다
개설
개설되다
개설서
개설하다
개성
개성화
개수
개시
개시되다
개시일
개시하다
개신교
개악
개업
개업하다
개요
개운하다
개울
개울가
개울물
개원
개원하다
개의하다
관하다
개인
개인기
개인별
개인사
